City/Area | Latitude | Longitude
Quang Tri - Cua Tung Beach | 17.1000 | 107.1000
Quang Nam - My Son Sanctuary | 15.7500 | 108.1000
Quang Nam - Cham Island | 15.8833 | 108.5000
Binh Dinh - Quy Hoa Beach | 13.7500 | 109.2500
Binh Dinh - Bai Xep | 13.7000 | 109.2500
Binh Dinh - Twin Towers | 13.7800 | 109.2230
Phu Yen - Tuy Hoa City | 13.0833 | 109.3000
Phu Yen - Ganh Da Dia | 13.3833 | 109.3000
Phu Yen - Bai Mon | 12.9500 | 109.4000
Khanh Hoa - Cam Ranh Beach | 11.9000 | 109.2000
Khanh Hoa - Doc Let Beach | 12.5833 | 109.2333
Khanh Hoa - Binh Ba Island | 11.8000 | 109.2000
Ninh Thuan - Vinh Hy Bay | 11.7500 | 109.1500
Ninh Thuan - Po Klong Garai Towers | 11.5833 | 108.9833
Kon Tum - Wooden Church | 14.3500 | 108.0000
Kon Tum - Mang Den | 14.6167 | 108.3500
Gia Lai - Kon Ka Kinh National Park | 14.3000 | 108.3000
Tay Ninh - Ba Den Mountain | 11.3667 | 106.1333
Tay Ninh - Cao Dai Holy See | 11.3100 | 106.1200
Binh Duong - Dai Nam Tourist Park | 11.0167 | 106.6833
Binh Duong - Thu Dau Mot | 10.9800 | 106.6500
Dong Nai - Cat Tien National Park | 11.4250 | 107.4333
Dong Nai - Giang Dien Waterfall | 10.9333 | 107.0167
Binh Phuoc - Bu Gia Map National Park | 12.1333 | 107.2000
Ba Ria - Long Hai Beach | 10.4333 | 107.2333
Ba Ria - Ho Tram Beach | 10.5000 | 107.4000
Binh Thuan - Phan Thiet Center | 10.9333 | 108.1000
Binh Thuan - Ta Cu Mountain | 10.8000 | 107.9000
Binh Thuan - Bau Trang Lake | 11.1500 | 108.6000
Lam Dong - Bao Loc City | 11.5500 | 107.8333
Lam Dong - Pongour Waterfall | 11.7667 | 108.3500
Lam Dong - Dambri Waterfall | 11.5833 | 107.7833
Ca Mau - U Minh Ha National Park | 8.8333 | 104.9833
Ca Mau - Khai Long Beach | 8.6333 | 105.0000
Bac Lieu - Cao Van Lau Theater | 9.2850 | 105.7240
Soc Trang - Clay Pagoda | 9.6000 | 105.9833
Tra Vinh - Hang Pagoda | 9.9333 | 106.3333
Ben Tre - Coconut Village | 10.1500 | 106.3833
Tien Giang - Dong Tam Snake Farm | 10.3500 | 106.3333
An Giang - Sam Mountain | 10.6833 | 105.0833
Kien Giang - U Minh Thuong National Park | 9.7000 | 105.1000
Long An - Tan Lap Floating Village | 10.6500 | 105.9333
Long An - Vam Co Dong River | 10.7333 | 106.3000
